"Hours	Price(€/MWh)			"
"00:00 - 00:15	152.42			"
"00:15 - 00:30	159.81			"
"00:30 - 00:45	158.96			"
"00:45 - 01:00	143.35			"
"01:00 - 01:15	151.69			"
"01:15 - 01:30	149.32			"
"01:30 - 01:45	141.85			"
"01:45 - 02:00	137.49			"
"02:00 - 02:15	131.59			"
"02:15 - 02:30	124.72			"
"02:30 - 02:45	121.71			"
"02:45 - 03:00	122.22			"
"03:00 - 03:15	125.05			"
"03:15 - 03:30	123.29			"
"03:30 - 03:45	123.25			"
"03:45 - 04:00	121.9			"
"04:00 - 04:15	125.05			"
"04:15 - 04:30	125.02			"
"04:30 - 04:45	129.93			"
"04:45 - 05:00	129.83			"
"05:00 - 05:15	123.5			"
"05:15 - 05:30	123.88			"
"05:30 - 05:45	131.74			"
"05:45 - 06:00	146.67			"
"06:00 - 06:15	152.75			"
"06:15 - 06:30	163.3			"
"06:30 - 06:45	173.94			"
"06:45 - 07:00	164			"
"07:00 - 07:15	177.6			"
"07:15 - 07:30	162.66			"
"07:30 - 07:45	127.29			"
"07:45 - 08:00	98.58			"
"08:00 - 08:15	135.09			"
"08:15 - 08:30	106.56			"
"08:30 - 08:45	84.61			"
"08:45 - 09:00	62.35			"
"09:00 - 09:15	109.86			"
"09:15 - 09:30	87.5			"
"09:30 - 09:45	46.11			"
"09:45 - 10:00	7.1			"
"10:00 - 10:15	60.95			"
"10:15 - 10:30	23.02			"
"10:30 - 10:45	-1.62			"
"10:45 - 11:00	-19.27			"
"11:00 - 11:15	18.06			"
"11:15 - 11:30	2.84			"
"11:30 - 11:45	-2.1			"
"11:45 - 12:00	-11.11			"
"12:00 - 12:15	2.45			"
"12:15 - 12:30	-7.55			"
"12:30 - 12:45	-13.05			"
"12:45 - 13:00	-21.32			"
"13:00 - 13:15	-11.99			"
"13:15 - 13:30	-16.19			"
"13:30 - 13:45	-21.93			"
"13:45 - 14:00	-30.64			"
"14:00 - 14:15	-33.5			"
"14:15 - 14:30	-32.87			"
"14:30 - 14:45	-35.11			"
"14:45 - 15:00	-30.7			"
"15:00 - 15:15	-45.39			"
"15:15 - 15:30	-40.84			"
"15:30 - 15:45	-27.43			"
"15:45 - 16:00	-9.41			"
"16:00 - 16:15	-42.71			"
"16:15 - 16:30	-25.49			"
"16:30 - 16:45	-2.71			"
"16:45 - 17:00	11.84			"
"17:00 - 17:15	-8.97			"
"17:15 - 17:30	12.42			"
"17:30 - 17:45	70.17			"
"17:45 - 18:00	103.32			"
"18:00 - 18:15	43.88			"
"18:15 - 18:30	62.5			"
"18:30 - 18:45	97.26			"
"18:45 - 19:00	145.59			"
"19:00 - 19:15	86.47			"
"19:15 - 19:30	97.01			"
"19:30 - 19:45	126.32			"
"19:45 - 20:00	182.63			"
"20:00 - 20:15	165.89			"
"20:15 - 20:30	201.36			"
"20:30 - 20:45	272.88			"
"20:45 - 21:00	289.21			"
"21:00 - 21:15	278.42			"
"21:15 - 21:30	157.66			"
"21:30 - 21:45	116.39			"
"21:45 - 22:00	95.49			"
"22:00 - 22:15	130.63			"
"22:15 - 22:30	96.72			"
"22:30 - 22:45	92.2			"
"22:45 - 23:00	78.88			"
"23:00 - 23:15	94.36			"
"23:15 - 23:30	79.71			"
"23:30 - 23:45	68.34			"
"23:45 - 24:00	62.21			"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"

"				"
"				"
"				"


"				"
"				"

"				"
"				"
"				"





















"				"
"				"
"				"











































































































































































































































































































































"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
"				"
